,PLAYER_ID,BBallRefUrl,Url,Name,Season,Offensive Position,Defensive Position,Archetype
398,1627756,http://www.basketball-reference.com/players/v/valende01.html,http://basketball.realgm.com/player/Denzel-Valentine/Summary/44077,Denzel Valentine,2017,Wing,Guard,Shooting Wing
399,965,http://www.basketball-reference.com/players/f/fishede01.html,http://basketball.realgm.com/player/Derek-Fisher/Summary/621,Derek Fisher,2014,Wing,Guard,Shooting Wing
400,101114,http://www.basketball-reference.com/players/w/willide01.html,http://basketball.realgm.com/player/Deron-Williams/Summary/60,Deron Williams,2014,Ball-Handler,Guard,Perimeter BH
401,101114,http://www.basketball-reference.com/players/w/willide01.html,http://basketball.realgm.com/player/Deron-Williams/Summary/60,Deron Williams,2015,Ball-Handler,Guard,Perimeter BH
402,101114,http://www.basketball-reference.com/players/w/willide01.html,http://basketball.realgm.com/player/Deron-Williams/Summary/60,Deron Williams,2016,Ball-Handler,Guard,Perimeter BH
403,101114,http://www.basketball-reference.com/players/w/willide01.html,http://basketball.realgm.com/player/Deron-Williams/Summary/60,Deron Williams,2017,Ball-Handler,Guard,Perimeter BH
404,202324,http://www.basketball-reference.com/players/f/favorde01.html,http://basketball.realgm.com/player/Derrick-Favors/Summary/2191,Derrick Favors,2014,Big,Interior,Diving Big
405,202324,http://www.basketball-reference.com/players/f/favorde01.html,http://basketball.realgm.com/player/Derrick-Favors/Summary/2191,Derrick Favors,2015,Big,Interior,Go-To Big
406,202324,http://www.basketball-reference.com/players/f/favorde01.html,http://basketball.realgm.com/player/Derrick-Favors/Summary/2191,Derrick Favors,2016,Big,Interior,Go-To Big
407,202324,http://www.basketball-reference.com/players/f/favorde01.html,http://basketball.realgm.com/player/Derrick-Favors/Summary/2191,Derrick Favors,2017,Big,Interior,Shooting Big
408,201565,http://www.basketball-reference.com/players/r/rosede01.html,http://basketball.realgm.com/player/Derrick-Rose/Summary/756,Derrick Rose,2014,Ball-Handler,Guard,Attacking BH
409,201565,http://www.basketball-reference.com/players/r/rosede01.html,http://basketball.realgm.com/player/Derrick-Rose/Summary/756,Derrick Rose,2015,Ball-Handler,Guard,Attacking BH
410,201565,http://www.basketball-reference.com/players/r/rosede01.html,http://basketball.realgm.com/player/Derrick-Rose/Summary/756,Derrick Rose,2016,Ball-Handler,Guard,Attacking BH
411,201565,http://www.basketball-reference.com/players/r/rosede01.html,http://basketball.realgm.com/player/Derrick-Rose/Summary/756,Derrick Rose,2017,Ball-Handler,Guard,Attacking BH
412,202682,http://www.basketball-reference.com/players/w/willide02.html,http://basketball.realgm.com/player/Derrick-Williams/Summary/6644,Derrick Williams,2014,Wing,Forward,Slashing Wing
413,202682,http://www.basketball-reference.com/players/w/willide02.html,http://basketball.realgm.com/player/Derrick-Williams/Summary/6644,Derrick Williams,2015,Wing,Forward,Slashing Wing
414,202682,http://www.basketball-reference.com/players/w/willide02.html,http://basketball.realgm.com/player/Derrick-Williams/Summary/6644,Derrick Williams,2016,Wing,Forward,Slashing Wing
415,202682,http://www.basketball-reference.com/players/w/willide02.html,http://basketball.realgm.com/player/Derrick-Williams/Summary/6644,Derrick Williams,2017,Wing,Forward,Slashing Wing
416,1626164,http://www.basketball-reference.com/players/b/bookede01.html,http://basketball.realgm.com/player/Devin-Booker/Summary/41438,Devin Booker,2016,Wing,Guard,Scoring Wing
417,1626164,http://www.basketball-reference.com/players/b/bookede01.html,http://basketball.realgm.com/player/Devin-Booker/Summary/41438,Devin Booker,2017,Wing,Forward,Scoring Wing
418,2734,http://www.basketball-reference.com/players/h/harride01.html,http://basketball.realgm.com/player/Devin-Harris/Summary/276,Devin Harris,2014,Ball-Handler,Guard,Attacking BH
419,2734,http://www.basketball-reference.com/players/h/harride01.html,http://basketball.realgm.com/player/Devin-Harris/Summary/276,Devin Harris,2015,Ball-Handler,Guard,Perimeter BH
420,2734,http://www.basketball-reference.com/players/h/harride01.html,http://basketball.realgm.com/player/Devin-Harris/Summary/276,Devin Harris,2016,Wing,Guard,Slashing Wing
421,2734,http://www.basketball-reference.com/players/h/harride01.html,http://basketball.realgm.com/player/Devin-Harris/Summary/276,Devin Harris,2017,Wing,Guard,Slashing Wing
422,203906,http://www.basketball-reference.com/players/m/marblde01.html,http://basketball.realgm.com/player/Devyn-Marble/Summary/22342,Devyn Marble,2015,Wing,Guard,Slashing Wing
423,203906,http://www.basketball-reference.com/players/m/marblde01.html,http://basketball.realgm.com/player/Devyn-Marble/Summary/22342,Devyn Marble,2016,Wing,Guard,Shooting Wing
424,203473,http://www.basketball-reference.com/players/d/dedmode01.html,http://basketball.realgm.com/player/Dewayne-Dedmon/Summary/28991,Dewayne Dedmon,2014,Big,Interior,Diving Big
425,203473,http://www.basketball-reference.com/players/d/dedmode01.html,http://basketball.realgm.com/player/Dewayne-Dedmon/Summary/28991,Dewayne Dedmon,2015,Big,Interior,Diving Big
426,203473,http://www.basketball-reference.com/players/d/dedmode01.html,http://basketball.realgm.com/player/Dewayne-Dedmon/Summary/28991,Dewayne Dedmon,2016,Big,Interior,Diving Big
427,203473,http://www.basketball-reference.com/players/d/dedmode01.html,http://basketball.realgm.com/player/Dewayne-Dedmon/Summary/28991,Dewayne Dedmon,2017,Big,Interior,Diving Big
428,1627738,http://www.basketball-reference.com/players/d/davisde01.html,http://basketball.realgm.com/player/Deyonta-Davis/Summary/73162,Deyonta Davis,2017,Big,Interior,Diving Big
429,203197,http://www.basketball-reference.com/players/g/garredi02.html,http://basketball.realgm.com/player/Diante-Garrett/Summary/4175,Diante Garrett,2014,Ball-Handler,Guard,Perimeter BH
430,203079,http://www.basketball-reference.com/players/w/waitedi01.html,http://basketball.realgm.com/player/Dion-Waiters/Summary/9280,Dion Waiters,2014,Wing,Guard,Scoring Wing
431,203079,http://www.basketball-reference.com/players/w/waitedi01.html,http://basketball.realgm.com/player/Dion-Waiters/Summary/9280,Dion Waiters,2015,Wing,Guard,Slashing Wing
432,203079,http://www.basketball-reference.com/players/w/waitedi01.html,http://basketball.realgm.com/player/Dion-Waiters/Summary/9280,Dion Waiters,2016,Wing,Guard,Slashing Wing
433,203079,http://www.basketball-reference.com/players/w/waitedi01.html,http://basketball.realgm.com/player/Dion-Waiters/Summary/9280,Dion Waiters,2017,Ball-Handler,Guard,Attacking BH
434,202091,http://www.basketball-reference.com/players/c/chrisdi01.html,http://basketball.realgm.com/player/Dionte-Christmas/Summary/1635,Dionte Christmas,2014,Wing,Guard,Shooting Wing
435,1717,http://www.basketball-reference.com/players/n/nowitdi01.html,http://basketball.realgm.com/player/Dirk-Nowitzki/Summary/308,Dirk Nowitzki,2014,Big,Interior,Shooting Big
