,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season
182,Lineups,202692 - 202379 - 203197 - 2210 - 202683,"Burks,Alec - Evans,Jeremy - Garrett,Diante - Jefferson,Richard - Kanter,Enes",1610612762,UTA,25,8,17,0.32,82.0,84.0,108.6,-24.6,0.37,0.74,9.2,0.208,0.74,0.474,0.152,0.386,0.44,89.31,0.338,82,269,12255,6992,182,7634,7009,7990,7193,4952,7500,4910,5912,6428,7250,7435,7714,8938,7481,2013-14
183,Lineups,203089 - 202688 - 203114 - 2585 - 203489,"Henson,John - Knight,Brandon - Middleton,Khris - Pachulia,Zaza - Wolters,Nate",1610612749,MIL,6,0,6,0.0,82.0,114.3,113.4,0.9,0.731,1.97,24.1,0.311,0.792,0.571,0.18,0.601,0.61,95.25,0.508,1069,7430,11801,7430,183,3902,7490,5132,2938,1967,1998,3452,5000,3287,8196,2995,3752,6750,5280,2013-14
184,Lineups,201589 - 202706 - 1889 - 202389 - 101126,"Arthur,Darrell - Hamilton,Jordan - Miller,Andre - Mozgov,Timofey - Robinson,Nate",1610612743,DEN,14,8,6,0.571,81.0,110.6,93.4,17.2,0.672,2.15,19.9,0.315,0.671,0.503,0.133,0.51,0.542,90.35,0.605,287,269,11801,4750,186,4368,4736,3818,3228,1214,3429,3425,6568,4508,6559,4336,5137,8575,4074,2013-14
185,Lineups,2203 - 2547 - 201596 - 201962 - 2544,"Battier,Shane - Bosh,Chris - Chalmers,Mario - Douglas,Toney - James,LeBron",1610612748,MIA,7,5,2,0.714,81.0,118.6,110.2,8.4,0.515,2.27,17.6,0.179,0.719,0.427,0.102,0.586,0.605,88.34,0.517,873,580,8928,3954,185,3563,7169,4485,5200,1148,4275,5416,6105,7401,5664,3275,3819,9219,5194,2013-14
186,Lineups,200746 - 201587 - 200777 - 202083 - 2590,"Aldridge,LaMarcus - Batum,Nicolas - Freeland,Joel - Matthews,Wesley - Williams,Mo",1610612757,POR,25,19,6,0.76,80.0,104.1,100.7,3.4,0.662,1.3,18.5,0.292,0.76,0.531,0.196,0.525,0.561,99.52,0.521,82,55,11801,3732,191,5135,5889,4918,3940,2969,3854,3612,5300,4179,8573,4187,4772,5120,5146,2013-14
187,Lineups,951 - 2365 - 201563 - 202708 - 2548,"Allen,Ray - Andersen,Chris - Beasley,Michael - Cole,Norris - Wade,Dwyane",1610612748,MIA,16,8,8,0.5,80.0,104.9,101.4,3.4,0.417,0.76,12.7,0.3,0.658,0.5,0.214,0.521,0.581,93.19,0.546,211,269,12046,4888,188,5028,6002,4916,6880,4849,6528,3510,7397,4515,9098,4230,4311,7596,4805,2013-14
188,Lineups,203084 - 201939 - 2738 - 101135 - 202691,"Barnes,Harrison - Curry,Stephen - Iguodala,Andre - Lee,David - Thompson,Klay",1610612744,GSW,25,18,7,0.72,80.0,119.3,100.5,18.8,0.581,2.05,17.3,0.32,0.805,0.566,0.116,0.545,0.587,101.77,0.634,82,65,11956,3952,189,3487,5875,3717,4689,1242,4373,3391,4626,3542,6057,3954,4171,4421,3777,2013-14
189,Lineups,2430 - 2736 - 2550 - 201149 - 203503,"Boozer,Carlos - Deng,Luol - Hinrich,Kirk - Noah,Joakim - Snell,Tony",1610612741,CHI,5,2,3,0.4,80.0,97.5,100.6,-3.1,0.705,1.79,19.8,0.278,0.722,0.5,0.156,0.478,0.5,92.1,0.507,1368,1721,10526,6298,190,6502,5881,6455,3110,2091,3440,3837,6074,4515,7368,5942,6243,8005,5287,2013-14
190,Lineups,203504 - 202692 - 202379 - 202324 - 202330,"Burke,Trey - Burks,Alec - Evans,Jeremy - Favors,Derrick - Hayward,Gordon",1610612762,UTA,25,9,16,0.36,80.0,108.3,108.1,0.2,0.623,1.72,19.2,0.267,0.851,0.557,0.156,0.532,0.559,96.53,0.52,82,216,12252,6483,187,4603,6973,5191,4195,2158,3615,3939,4177,3657,7361,4093,4797,6229,5150,2013-14
191,Lineups,200777 - 203081 - 203080 - 2590 - 2748,"Freeland,Joel - Lillard,Damian - Robinson,Thomas - Williams,Mo - Wright,Dorell",1610612757,POR,19,15,4,0.789,80.0,102.3,114.3,-12.0,0.578,1.32,16.3,0.316,0.722,0.514,0.169,0.493,0.524,98.65,0.426,158,91,11234,3705,192,5386,7712,7145,4708,2962,4986,3408,6074,4434,7842,5817,5543,5430,6535,2013-14
192,Lineups,202331 - 201579 - 201588 - 2449 - 202362,"George,Paul - Hibbert,Roy - Hill,George - Scola,Luis - Stephenson,Lance",1610612754,IND,35,21,14,0.6,80.0,102.2,115.2,-13.0,0.603,1.52,17.4,0.342,0.718,0.528,0.161,0.468,0.511,94.89,0.448,36,39,12233,4597,193,5397,7764,7224,4309,2399,4352,2623,6106,4234,7508,6090,5931,6889,6227,2013-14
193,Lineups,202702 - 200751 - 201951 - 203113 - 202389,"Faried,Kenneth - Foye,Randy - Lawson,Ty - Miller,Quincy - Mozgov,Timofey",1610612743,DEN,8,3,5,0.375,79.0,95.5,112.2,-16.7,0.55,1.18,15.5,0.208,0.742,0.464,0.169,0.489,0.518,100.32,0.398,713,1113,11589,6443,194,6663,7353,7499,5008,3165,5321,4902,5897,6589,7855,5848,5698,4850,6897,2013-14
194,Lineups,203089 - 101141 - 202688 - 201564 - 203114,"Henson,John - Ilyasova,Ersan - Knight,Brandon - Mayo,O.J. - Middleton,Khris",1610612749,MIL,17,4,13,0.235,79.0,102.3,109.5,-7.2,0.565,1.25,16.6,0.212,0.696,0.459,0.173,0.519,0.56,99.49,0.433,192,787,12217,7235,195,5392,7114,6783,4867,3009,4903,4886,6426,6688,8006,4244,4781,5128,6420,2013-14
195,Lineups,203507 - 203089 - 101141 - 202688 - 203114,"Antetokounmpo,Giannis - Henson,John - Ilyasova,Ersan - Knight,Brandon - Middleton,Khris",1610612749,MIL,11,2,9,0.182,78.0,103.1,124.5,-21.4,0.556,1.36,15.1,0.314,0.788,0.516,0.15,0.465,0.515,88.57,0.357,424,1721,12112,7333,196,5284,8527,7819,4918,2815,5435,3427,5019,4406,7198,6118,5833,9162,7338,2013-14
196,Lineups,203084 - 101106 - 2738 - 101135 - 202691,"Barnes,Harrison - Bogut,Andrew - Iguodala,Andre - Lee,David - Thompson,Klay",1610612744,GSW,8,4,4,0.5,78.0,86.0,83.1,2.9,0.635,1.27,17.9,0.131,0.747,0.486,0.182,0.487,0.492,88.88,0.537,713,787,11234,4888,197,7480,3859,4973,4058,3006,4129,5932,5881,6271,8226,5863,6949,9085,4945,2013-14
197,Lineups,202331 - 101122 - 201579 - 201588 - 2561,"George,Paul - Granger,Danny - Hibbert,Roy - Hill,George - West,David",1610612754,IND,18,12,6,0.667,78.0,105.2,105.4,-0.2,0.448,1.18,13.1,0.338,0.769,0.549,0.147,0.463,0.522,94.3,0.479,174,136,11801,4051,198,4995,6615,6200,6714,3159,6321,2627,5214,3853,7091,6165,5579,7129,5804,2013-14
198,Lineups,951 - 2365 - 201563 - 202708 - 2544,"Allen,Ray - Andersen,Chris - Beasley,Michael - Cole,Norris - James,LeBron",1610612748,MIA,21,12,9,0.571,77.0,126.0,105.2,20.8,0.508,2.06,16.6,0.271,0.625,0.443,0.107,0.574,0.63,94.61,0.594,128,136,12112,4750,199,2885,6591,3563,5214,1238,4877,3920,7520,7061,5786,3466,3351,7008,4240,2013-14
199,Lineups,101181 - 101145 - 1890 - 1717 - 201148,"Calderon,Jose - Ellis,Monta - Marion,Shawn - Nowitzki,Dirk - Wright,Brandan",1610612742,DAL,22,13,9,0.591,77.0,114.6,119.9,-5.3,0.537,2.23,15.2,0.286,0.63,0.462,0.091,0.481,0.546,89.51,0.47,113,117,12112,4729,200,3891,8129,6622,5107,1181,5425,3636,7514,6601,5356,5929,5055,8875,5935,2013-14
200,Lineups,201976 - 201935 - 2730 - 202391 - 202718,"Beverley,Patrick - Harden,James - Howard,Dwight - Lin,Jeremy - Parsons,Chandler",1610612745,HOU,14,5,9,0.357,76.0,97.2,109.7,-12.4,0.596,1.12,13.8,0.276,0.672,0.488,0.158,0.445,0.516,99.08,0.442,287,580,12112,6484,201,6522,7122,7168,4599,3245,6079,3853,6567,6250,7416,6432,5754,5272,6308,2013-14
201,Lineups,203500 - 2555 - 201142 - 965 - 203087,"Adams,Steven - Collison,Nick - Durant,Kevin - Fisher,Derek - Lamb,Jeremy",1610612760,OKC,21,14,7,0.667,75.0,121.6,102.3,19.3,0.422,1.29,13.2,0.348,0.8,0.573,0.136,0.53,0.6,101.39,0.575,128,106,11956,4051,202,3257,6186,3668,6872,2978,6302,2600,4636,3286,6655,4117,3897,4532,4449,2013-14
202,Lineups,2546 - 2199 - 101109 - 203143 - 2747,"Anthony,Carmelo - Chandler,Tyson - Felton,Raymond - Prigioni,Pablo - Smith,J.R.",1610612752,NYK,10,3,7,0.3,74.0,119.7,105.8,13.9,0.493,1.43,17.5,0.269,0.806,0.561,0.162,0.623,0.639,94.24,0.563,492,1113,11956,6997,205,3453,6644,4098,6575,2720,4329,3928,4617,3617,7546,2838,3223,7152,4606,2013-14
203,Lineups,201571 - 202710 - 2399 - 201959 - 1737,"Augustin,D.J. - Butler,Jimmy - Dunleavy,Mike - Gibson,Taj - Mohammed,Nazr",1610612741,CHI,19,12,7,0.632,74.0,94.3,94.0,0.3,0.51,1.14,13.7,0.308,0.781,0.543,0.16,0.429,0.479,88.66,0.5,158,136,11956,4535,207,6760,4782,5185,5211,3232,6123,3463,5076,3970,7479,6686,7119,9140,5323,2013-14
204,Lineups,201571 - 2399 - 201959 - 201149 - 203503,"Augustin,D.J. - Dunleavy,Mike - Gibson,Taj - Noah,Joakim - Snell,Tony",1610612741,CHI,23,17,6,0.739,74.0,110.0,77.8,32.2,0.842,1.66,23.9,0.255,0.692,0.528,0.206,0.585,0.626,90.29,0.782,106,71,11801,3928,206,4425,3447,2887,2205,2309,2023,4008,6439,4232,8990,3280,3391,8586,2588,2013-14
205,Lineups,202326 - 201601 - 203463 - 201574 - 202349,"Cousins,DeMarcus - Mbah a Moute,Luc - McLemore,Ben - Thompson,Jason - Vasquez,Greivis",1610612758,SAC,5,2,3,0.4,74.0,100.4,101.0,-0.6,0.55,1.57,17.1,0.196,0.895,0.549,0.141,0.5,0.538,94.99,0.519,1368,1721,10526,6298,203,5680,5929,6237,5008,2366,4422,5304,3804,3857,6796,4383,5211,6841,5168,2013-14
206,Lineups,203521 - 101127 - 2760 - 203079 - 203092,"Dellavedova,Matthew - Jack,Jarrett - Varejao,Anderson - Waiters,Dion - Zeller,Tyler",1610612739,CLE,12,4,8,0.333,74.0,127.0,90.5,36.5,0.667,2.26,23.4,0.351,0.814,0.606,0.153,0.636,0.648,96.05,0.705,371,787,12046,6491,204,2818,4473,2629,3234,1149,2118,2590,4572,2702,7269,2622,3071,6415,3092,2013-14
207,Lineups,202340 - 202348 - 201145 - 2743 - 203096,"Bradley,Avery - Crawford,Jordan - Green,Jeff - Humphries,Kris - Sullinger,Jared",1610612738,BOS,12,4,8,0.333,73.0,98.1,101.2,-3.1,0.5,1.41,14.4,0.345,0.622,0.482,0.142,0.445,0.469,97.05,0.475,371,787,12046,6491,208,6436,5972,6454,5218,2751,5743,2617,7598,6318,6809,6434,7263,6007,5861,2013-14
208,Lineups,2736 - 202681 - 101127 - 202684 - 2760,"Deng,Luol - Irving,Kyrie - Jack,Jarrett - Thompson,Tristan - Varejao,Anderson",1610612739,CLE,12,3,9,0.25,73.0,101.6,108.9,-7.3,0.66,1.94,17.6,0.266,0.776,0.508,0.123,0.472,0.511,93.45,0.472,371,1113,12112,7049,209,5524,7052,6795,3942,1975,4255,3956,5180,4484,6208,6041,5926,7482,5904,2013-14
209,Lineups,201167 - 203090 - 203124 - 203506 - 202696,"Afflalo,Arron - Harkless,Maurice - O'Quinn,Kyle - Oladipo,Victor - Vucevic,Nikola",1610612753,ORL,11,2,9,0.182,72.0,95.0,101.8,-6.8,0.642,1.26,17.3,0.262,0.797,0.536,0.185,0.471,0.514,99.3,0.469,424,1721,12112,7333,210,6699,6089,6746,3998,3008,4375,3977,4973,4082,8341,6048,5850,5204,5954,2013-14
210,Lineups,200746 - 201587 - 200777 - 2590 - 2748,"Aldridge,LaMarcus - Batum,Nicolas - Freeland,Joel - Williams,Mo - Wright,Dorell",1610612757,POR,24,19,5,0.792,72.0,105.3,117.6,-12.3,0.712,1.37,18.8,0.333,0.672,0.508,0.192,0.513,0.558,95.01,0.456,92,55,11589,3704,216,4986,7951,7161,3094,2811,3752,2629,6566,4482,8510,4319,4809,6833,6105,2013-14
211,Lineups,2546 - 101109 - 202697 - 2747 - 2405,"Anthony,Carmelo - Felton,Raymond - Shumpert,Iman - Smith,J.R. - Stoudemire,Amar'e",1610612752,NYK,20,13,7,0.65,72.0,117.9,111.8,6.1,0.518,1.61,17.0,0.292,0.623,0.465,0.142,0.582,0.609,87.64,0.504,143,117,11956,4515,213,3612,7329,4696,5192,2332,4459,3612,7597,6571,6800,3402,3761,9416,5310,2013-14
212,Lineups,201947 - 202681 - 101139 - 202684 - 2760,"Clark,Earl - Irving,Kyrie - Miles,CJ - Thompson,Tristan - Varejao,Anderson",1610612739,CLE,7,1,6,0.143,72.0,104.1,98.0,6.1,0.559,1.74,17.2,0.269,0.803,0.534,0.135,0.5,0.524,92.86,0.508,873,3023,11801,7384,212,5139,5119,4695,4910,2146,4417,3935,4632,4100,6614,4383,5545,7745,5276,2013-14
213,Lineups,201954 - 201162 - 201933 - 201599 - 200755,"Collison,Darren - Dudley,Jared - Griffin,Blake - Jordan,DeAndre - Redick,JJ",1610612746,LAC,9,5,4,0.556,72.0,118.5,103.3,15.2,0.632,2.15,20.8,0.237,0.658,0.47,0.133,0.583,0.617,100.18,0.609,592,580,11234,4809,214,3565,6362,3991,4066,1214,2825,4613,7400,6506,6555,3399,3586,4903,4045,2013-14
214,Lineups,201175 - 203090 - 202699 - 2749 - 203506,"Davis,Glen - Harkless,Maurice - Harris,Tobias - Nelson,Jameer - Oladipo,Victor",1610612753,ORL,6,1,5,0.167,72.0,108.2,100.0,8.2,0.517,1.94,17.5,0.172,0.731,0.472,0.118,0.545,0.566,90.44,0.541,1069,3023,11589,7341,215,4617,5235,4512,5198,1979,4291,5445,5992,6465,6092,3955,4653,8557,4880,2013-14
215,Lineups,201609 - 101123 - 202694 - 202693 - 200782,"Dragic,Goran - Green,Gerald - Morris,Marcus - Morris,Markieff - Tucker,PJ",1610612756,PHX,32,23,9,0.719,72.0,100.5,107.0,-6.4,0.529,1.23,14.7,0.206,0.689,0.444,0.153,0.491,0.536,98.11,0.469,48,27,12112,3953,211,5670,6870,6716,5150,3090,5608,4919,6486,7060,7256,5826,5250,5628,5947,2013-14
216,Lineups,203500 - 201142 - 201586 - 203103 - 201566,"Adams,Steven - Durant,Kevin - Ibaka,Serge - Jones,Perry - Westbrook,Russell",1610612760,OKC,9,7,2,0.778,71.0,124.3,102.9,21.5,0.616,1.96,20.8,0.362,0.803,0.597,0.153,0.598,0.63,101.03,0.622,592,342,8928,3711,220,3038,6258,3520,4222,1972,2808,2530,4632,3074,7270,3161,3349,4646,3910,2013-14
217,Lineups,101138 - 202340 - 202348 - 203543 - 201145,"Bass,Brandon - Bradley,Avery - Crawford,Jordan - Faverani,Vitor - Green,Jeff",1610612738,BOS,14,5,9,0.357,71.0,93.6,96.7,-3.1,0.5,1.44,13.9,0.269,0.773,0.5,0.129,0.432,0.458,96.14,0.418,287,580,12112,6484,217,6823,4999,6453,5218,2708,6049,3928,5195,4515,6426,6663,7445,6379,6620,2013-14
218,Lineups,101106 - 201939 - 203110 - 2738 - 202691,"Bogut,Andrew - Curry,Stephen - Green,Draymond - Iguodala,Andre - Thompson,Klay",1610612744,GSW,16,8,8,0.5,71.0,116.1,100.0,16.1,0.603,1.86,19.9,0.19,0.68,0.466,0.143,0.6,0.625,104.37,0.597,211,269,12046,4888,219,3777,5839,3928,4310,2018,3433,5331,6535,6568,6818,2997,3393,3727,4214,2013-14
219,Lineups,201147 - 201978 - 201967 - 201567 - 201937,"Brewer,Corey - Budinger,Chase - Cunningham,Dante - Love,Kevin - Rubio,Ricky",1610612750,MIN,9,5,4,0.556,71.0,116.6,111.8,4.8,0.609,1.86,18.7,0.29,0.742,0.523,0.138,0.554,0.595,102.12,0.544,592,580,11234,4809,218,3717,7330,4807,4285,2020,3803,3623,5897,4315,6724,3809,4060,4330,4849,2013-14
220,Lineups,2200 - 203527 - 203088 - 201975 - 201156,"Gasol,Pau - Kelly,Ryan - Marshall,Kendall - Meeks,Jodie - Young,Nick",1610612747,LAL,10,1,9,0.1,71.0,121.9,120.0,1.9,0.508,1.41,16.8,0.24,0.677,0.482,0.156,0.609,0.656,94.31,0.514,492,3023,12112,7424,221,3244,8134,5052,5213,2751,4602,4595,6554,6316,7367,2947,2978,7119,5222,2013-14
221,Lineups,201571 - 201959 - 2550 - 201149 - 203503,"Augustin,D.J. - Gibson,Taj - Hinrich,Kirk - Noah,Joakim - Snell,Tony",1610612741,CHI,22,16,6,0.727,70.0,102.3,88.2,14.1,0.604,1.26,16.3,0.25,0.785,0.537,0.17,0.491,0.548,90.83,0.6,113,81,11801,3936,224,5396,4280,4089,4306,3007,4984,4022,5059,4076,7964,5831,5028,8437,4109,2013-14
222,Lineups,101138 - 202340 - 203543 - 201145 - 2222,"Bass,Brandon - Bradley,Avery - Faverani,Vitor - Green,Jeff - Wallace,Gerald",1610612738,BOS,8,2,6,0.25,70.0,82.9,88.0,-5.1,0.5,0.67,13.8,0.236,0.727,0.504,0.262,0.476,0.498,94.56,0.479,713,1721,11801,7049,225,7693,4271,6612,5218,4983,6100,4618,6002,4505,10096,5975,6889,7023,5806,2013-14
223,Lineups,201147 - 201978 - 201567 - 201937 - 101142,"Brewer,Corey - Budinger,Chase - Love,Kevin - Rubio,Ricky - Turiaf,Ronny",1610612750,MIN,8,6,2,0.75,70.0,112.1,99.7,12.4,0.692,3.0,21.0,0.263,0.75,0.486,0.101,0.525,0.542,103.52,0.578,713,438,8928,3734,223,4233,5230,4209,3160,527,2734,3964,5344,6273,5614,4176,5134,3943,4409,2013-14
224,Lineups,201954 - 2037 - 201933 - 201599 - 101108,"Collison,Darren - Crawford,Jamal - Griffin,Blake - Jordan,DeAndre - Paul,Chris",1610612746,LAC,18,11,7,0.611,70.0,118.4,115.4,3.0,0.565,2.92,18.3,0.302,0.635,0.468,0.087,0.539,0.563,95.33,0.498,174,157,11956,4586,222,3584,7780,4963,4867,863,4011,3507,7500,6520,5274,4016,4698,6715,5632,2013-14
225,Lineups,202339 - 201609 - 101112 - 202693 - 200782,"Bledsoe,Eric - Dragic,Goran - Frye,Channing - Morris,Markieff - Tucker,PJ",1610612756,PHX,18,11,7,0.611,69.0,113.0,94.8,18.2,0.476,1.15,14.9,0.381,0.794,0.587,0.177,0.538,0.573,100.38,0.615,174,157,11956,4586,226,4114,4843,3755,6606,3202,5496,2367,4992,3137,8121,4018,4435,4831,3994,2013-14
226,Lineups,202087 - 202681 - 202684 - 2760 - 203079,"Gee,Alonzo - Irving,Kyrie - Thompson,Tristan - Varejao,Anderson - Waiters,Dion",1610612739,CLE,11,5,6,0.455,69.0,109.4,118.6,-9.2,0.564,1.24,16.2,0.367,0.69,0.525,0.181,0.509,0.559,94.97,0.469,424,580,11801,6204,227,4494,8034,6932,4871,3083,5018,2480,6483,4280,8213,4344,4794,6848,5953,2013-14
227,Lineups,101138 - 201573 - 201145 - 200765 - 203096,"Bass,Brandon - Bayless,Jerryd - Green,Jeff - Rondo,Rajon - Sullinger,Jared",1610612738,BOS,16,5,11,0.313,68.0,96.8,127.8,-31.0,0.553,1.04,14.4,0.266,0.692,0.457,0.182,0.461,0.514,97.62,0.301,211,580,12187,6995,232,6555,8793,8395,4996,3282,5746,3956,6439,6721,8251,6205,5848,5797,7906,2013-14
228,Lineups,101138 - 202340 - 202348 - 201145 - 203482,"Bass,Brandon - Bradley,Avery - Crawford,Jordan - Green,Jeff - Olynyk,Kelly",1610612738,BOS,12,4,8,0.333,68.0,109.6,111.4,-1.8,0.443,1.93,15.4,0.214,0.735,0.457,0.102,0.524,0.556,96.22,0.455,371,787,12046,6491,228,4473,7293,6338,6774,1981,5371,4851,5950,6713,5668,4191,4864,6347,6113,2013-14
229,Lineups,101138 - 202340 - 201145 - 2743 - 200765,"Bass,Brandon - Bradley,Avery - Green,Jeff - Humphries,Kris - Rondo,Rajon",1610612738,BOS,9,1,8,0.111,68.0,107.1,110.4,-3.3,0.673,1.67,19.4,0.232,0.826,0.5,0.158,0.514,0.57,94.9,0.456,592,3023,12046,7417,231,4720,7201,6471,3226,2190,3586,4657,4462,4515,7450,4309,4518,6885,6107,2013-14
230,Lineups,201976 - 201935 - 2730 - 202700 - 202718,"Beverley,Patrick - Harden,James - Howard,Dwight - Motiejunas,Donatas - Parsons,Chandler",1610612745,HOU,18,11,7,0.611,68.0,135.0,97.6,37.4,0.552,2.18,19.1,0.353,0.811,0.587,0.123,0.648,0.67,100.2,0.658,174,157,11956,4586,234,2252,5083,2598,4999,1202,3657,2571,4597,3139,6206,2512,2699,4891,3555,2013-14
231,Lineups,2547 - 201596 - 2617 - 2544 - 2548,"Bosh,Chris - Chalmers,Mario - Haslem,Udonis - James,LeBron - Wade,Dwyane",1610612748,MIA,6,3,3,0.5,68.0,85.4,95.1,-9.8,0.848,1.44,22.0,0.089,0.76,0.406,0.202,0.485,0.511,96.71,0.441,1069,1113,10526,4888,233,7553,4870,6982,2200,2708,2499,6202,5300,7601,8831,5881,5945,6145,6326,2013-14
232,Lineups,202326 - 200752 - 203463 - 202738 - 202682,"Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Thomas,Isaiah - Williams,Derrick",1610612758,SAC,17,9,8,0.529,68.0,109.9,109.4,0.6,0.463,0.83,12.8,0.356,0.75,0.555,0.201,0.504,0.585,102.16,0.528,192,216,12046,4875,230,4438,7098,5164,6642,4751,6422,2565,5344,3793,8806,4371,4190,4316,5068,2013-14
233,Lineups,201142 - 201586 - 2570 - 203460 - 201566,"Durant,Kevin - Ibaka,Serge - Perkins,Kendrick - Roberson,Andre - Westbrook,Russell",1610612760,OKC,6,5,1,0.833,68.0,111.7,98.0,13.7,0.625,2.22,21.6,0.192,0.627,0.449,0.133,0.568,0.593,95.53,0.585,1069,580,3490,3547,229,4263,5120,4118,4085,1183,2574,5315,7519,6866,6552,3610,4071,6642,4333,2013-14
234,Lineups,2754 - 201144 - 201188 - 201584 - 2216,"Allen,Tony - Conley,Mike - Gasol,Marc - Lee,Courtney - Randolph,Zach",1610612763,MEM,15,10,5,0.667,67.0,105.7,90.2,15.6,0.607,1.7,18.7,0.255,0.763,0.518,0.149,0.536,0.553,96.77,0.602,245,181,11589,4051,241,4940,4447,3968,4295,2176,3812,4014,5287,4386,7157,4057,4911,6116,4104,2013-14
235,Lineups,2546 - 200745 - 2030 - 202697 - 2757,"Anthony,Carmelo - Bargnani,Andrea - Martin,Kenyon - Shumpert,Iman - Udrih,Beno",1610612752,NYK,7,3,4,0.429,67.0,106.7,104.7,2.0,0.667,2.0,21.6,0.286,0.707,0.514,0.154,0.54,0.556,90.63,0.521,873,1113,11234,6246,240,4750,6542,5044,3234,1247,2555,3636,6317,4430,7284,4010,4869,8498,5144,2013-14
236,Lineups,101138 - 201145 - 200765 - 203096 - 2222,"Bass,Brandon - Green,Jeff - Rondo,Rajon - Sullinger,Jared - Wallace,Gerald",1610612738,BOS,6,1,5,0.167,67.0,96.1,103.0,-6.9,0.566,1.88,16.4,0.279,0.774,0.496,0.119,0.445,0.47,96.11,0.454,1069,3023,11589,7341,238,6619,6270,6756,4859,2006,4963,3834,5192,6205,6128,6433,7254,6389,6156,2013-14
237,Lineups,203504 - 202692 - 202379 - 2210 - 202683,"Burke,Trey - Burks,Alec - Evans,Jeremy - Jefferson,Richard - Kanter,Enes",1610612762,UTA,22,7,15,0.318,67.0,114.7,114.7,0.0,0.564,2.07,17.5,0.259,0.768,0.509,0.115,0.518,0.573,94.37,0.493,113,342,12244,6993,239,3886,7728,5206,4871,1237,4286,3993,5245,4477,6023,4249,4429,7090,5669,2013-14
238,Lineups,201163 - 200751 - 201581 - 201951 - 202389,"Chandler,Wilson - Foye,Randy - Hickson,JJ - Lawson,Ty - Mozgov,Timofey",1610612743,DEN,19,9,10,0.474,67.0,108.6,97.2,11.4,0.621,1.33,17.5,0.236,0.769,0.549,0.172,0.554,0.596,109.45,0.611,158,216,12158,6185,235,4576,5047,4267,4204,2827,4294,4618,5214,3853,8005,3812,4008,2702,4035,2013-14
239,Lineups,2736 - 202681 - 202684 - 2760 - 203079,"Deng,Luol - Irving,Kyrie - Thompson,Tristan - Varejao,Anderson - Waiters,Dion",1610612739,CLE,13,6,7,0.462,67.0,91.5,105.2,-13.6,0.548,1.35,13.4,0.266,0.721,0.488,0.13,0.409,0.458,92.97,0.427,322,438,11956,6195,237,7017,6592,7275,5026,2824,6197,3956,6094,6250,6465,7016,7452,7680,6528,2013-14
240,Lineups,203090 - 202734 - 203094 - 203124 - 203506,"Harkless,Maurice - Moore,E'Twaun - Nicholson,Andrew - O'Quinn,Kyle - Oladipo,Victor",1610612753,ORL,16,6,10,0.375,67.0,91.7,106.9,-15.2,0.444,0.83,14.1,0.185,0.705,0.461,0.213,0.528,0.533,96.83,0.401,211,438,12158,6443,236,6997,6862,7377,6718,4786,6002,5357,6337,6676,9088,4158,5310,6090,6783,2013-14
241,Lineups,200746 - 201587 - 203081 - 202083 - 2590,"Aldridge,LaMarcus - Batum,Nicolas - Lillard,Damian - Matthews,Wesley - Williams,Mo",1610612757,POR,38,23,15,0.605,66.0,102.3,110.7,-8.4,0.457,0.78,10.4,0.222,0.712,0.443,0.164,0.455,0.548,115.23,0.436,26,27,12244,4596,244,5382,7224,6873,6668,4835,7228,4731,6287,7065,7582,6289,5016,1941,6382,2013-14
242,Lineups,951 - 2547 - 201596 - 2544 - 2548,"Allen,Ray - Bosh,Chris - Chalmers,Mario - James,LeBron - Wade,Dwyane",1610612748,MIA,20,11,9,0.55,66.0,123.6,97.5,26.1,0.685,2.31,20.1,0.189,0.745,0.462,0.117,0.593,0.646,96.23,0.675,143,157,12112,4837,248,3091,5074,3257,3199,1139,3091,5334,5888,6601,6072,3197,3096,6334,3323,2013-14
243,Lineups,203084 - 201939 - 101135 - 979 - 202691,"Barnes,Harrison - Curry,Stephen - Lee,David - O'Neal,Jermaine - Thompson,Klay",1610612744,GSW,15,9,6,0.6,66.0,103.6,131.3,-27.7,0.518,1.61,16.0,0.233,0.696,0.457,0.13,0.488,0.533,99.04,0.371,245,216,11801,4597,246,5175,9036,8209,5192,2332,5084,4645,6425,6721,6480,5856,5292,5289,7196,2013-14
244,Lineups,101181 - 203109 - 2223 - 101145 - 1717,"Calderon,Jose - Crowder,Jae - Dalembert,Samuel - Ellis,Monta - Nowitzki,Dirk",1610612742,DAL,11,10,1,0.909,66.0,109.9,108.9,0.9,0.698,2.47,21.5,0.137,0.782,0.472,0.117,0.546,0.586,91.86,0.518,424,181,3490,3492,242,4448,7054,5127,3149,1063,2598,5908,5075,6468,6069,3909,4180,8085,5182,2013-14
