,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season
13,Lineups,201609 - 101112 - 101123 - 203101 - 200782,"Dragic,Goran - Frye,Channing - Green,Gerald - Plumlee,Miles - Tucker,PJ",1610612756,PHX,45,26,19,0.578,526.0,111.5,109.5,2.0,0.483,1.33,16.0,0.241,0.737,0.491,0.158,0.571,0.591,97.59,0.486,12,16,12268,4748,15,4274,7113,5040,6595,2959,5083,4592,5946,6229,7423,3586,4109,5813,5739,2013-14
14,Lineups,201945 - 2744 - 203077 - 201177 - 202689,"Henderson,Gerald - Jefferson,Al - Kidd-Gilchrist,Michael - McRoberts,Josh - Walker,Kemba",1610612766,CHA,35,18,17,0.514,526.0,106.9,96.0,10.9,0.638,2.23,19.8,0.224,0.825,0.53,0.122,0.519,0.547,91.07,0.568,36,65,12255,4886,14,4740,4942,4315,4006,1180,3434,4727,4473,4186,6185,4245,5035,8356,4540,2013-14
15,Lineups,203484 - 203083 - 201943 - 202328 - 2746,"Caldwell-Pope,Kentavious - Drummond,Andre - Jennings,Brandon - Monroe,Greg - Smith,Josh",1610612765,DET,39,17,22,0.436,496.0,98.9,103.3,-4.3,0.572,1.49,16.4,0.322,0.794,0.54,0.153,0.467,0.491,97.96,0.457,23,71,12273,6245,16,6374,6356,6544,4726,2694,4939,3386,4990,4001,7255,6093,6963,5669,6097,2013-14
16,Lineups,201163 - 202702 - 200751 - 201581 - 201951,"Chandler,Wilson - Faried,Kenneth - Foye,Randy - Hickson,JJ - Lawson,Ty",1610612743,DEN,40,21,19,0.525,490.0,108.1,105.0,3.0,0.621,1.66,18.6,0.283,0.75,0.516,0.155,0.532,0.557,101.18,0.505,21,39,12268,4883,17,4630,6569,4957,4202,2307,3828,3818,5344,4415,7312,4094,4835,4586,5304,2013-14
17,Lineups,2772 - 203078 - 101162 - 2403 - 202322,"Ariza,Trevor - Beal,Bradley - Gortat,Marcin - Hilario,Nene - Wall,John",1610612764,WAS,39,21,18,0.538,487.0,105.8,95.3,10.5,0.631,1.71,19.5,0.226,0.771,0.502,0.155,0.539,0.562,98.62,0.561,23,39,12261,4851,18,4935,4888,4348,4078,2173,3540,4717,5212,4509,7315,4017,4753,5451,4623,2013-14
18,Lineups,203083 - 201943 - 202328 - 202713 - 2746,"Drummond,Andre - Jennings,Brandon - Monroe,Greg - Singler,Kyle - Smith,Josh",1610612765,DET,42,12,30,0.286,461.0,102.1,112.7,-10.7,0.599,1.69,17.5,0.321,0.761,0.529,0.144,0.481,0.505,96.04,0.444,17,136,12288,7009,19,5410,7438,7051,4594,2183,4325,3390,5298,4225,6931,5923,6158,6423,6300,2013-14
19,Lineups,202339 - 201609 - 101112 - 203101 - 200782,"Bledsoe,Eric - Dragic,Goran - Frye,Channing - Plumlee,Miles - Tucker,PJ",1610612756,PHX,35,23,12,0.657,436.0,105.4,93.1,12.2,0.485,1.34,15.2,0.254,0.757,0.511,0.15,0.515,0.545,95.91,0.572,36,27,12203,4511,20,4981,4705,4221,6587,2826,5411,4016,5326,4461,7172,4295,5063,6505,4463,2013-14
20,Lineups,2203 - 2547 - 201596 - 2544 - 2548,"Battier,Shane - Bosh,Chris - Chalmers,Mario - James,LeBron - Wade,Dwyane",1610612748,MIA,35,24,11,0.686,429.0,111.3,103.2,8.1,0.649,1.81,20.9,0.176,0.689,0.451,0.156,0.579,0.612,97.01,0.566,36,21,12187,4043,21,4283,6352,4516,3973,2067,2779,5436,6485,6843,7376,3418,3714,6023,4564,2013-14
21,Lineups,201960 - 201143 - 2594 - 200794 - 201952,"Carroll,DeMarre - Horford,Al - Korver,Kyle - Millsap,Paul - Teague,Jeff",1610612737,ATL,24,15,9,0.625,392.0,103.3,101.7,1.5,0.683,1.9,20.8,0.193,0.748,0.477,0.149,0.533,0.553,97.23,0.523,92,91,12112,4537,22,5209,6047,5078,3208,2001,2826,5314,5879,6385,7164,4085,4912,5944,5125,2013-14
22,Lineups,101138 - 202340 - 202348 - 201145 - 203096,"Bass,Brandon - Bradley,Avery - Crawford,Jordan - Green,Jeff - Sullinger,Jared",1610612738,BOS,28,11,17,0.393,373.0,94.7,100.3,-5.6,0.487,1.14,13.8,0.21,0.798,0.5,0.155,0.461,0.502,96.19,0.452,62,157,12255,6435,23,6731,5861,6643,6583,3230,6089,4901,4971,4515,7311,6201,6229,6358,6179,2013-14
23,Lineups,201142 - 201586 - 2570 - 200757 - 201566,"Durant,Kevin - Ibaka,Serge - Perkins,Kendrick - Sefolosha,Thabo - Westbrook,Russell",1610612760,OKC,24,20,4,0.833,349.0,98.8,101.4,-2.6,0.599,1.46,17.4,0.247,0.746,0.498,0.16,0.478,0.517,98.3,0.491,92,49,11234,3547,24,6384,6000,6398,4595,2700,4340,4566,5884,6203,7504,5952,5720,5560,5677,2013-14
24,Lineups,201935 - 2730 - 203093 - 202391 - 202718,"Harden,James - Howard,Dwight - Jones,Terrence - Lin,Jeremy - Parsons,Chandler",1610612745,HOU,32,24,8,0.75,328.0,112.2,106.0,6.2,0.575,1.41,17.3,0.247,0.752,0.517,0.164,0.56,0.599,100.9,0.547,48,21,12046,3734,25,4227,6654,4686,4721,2750,4374,4564,5341,4387,7584,3720,3966,4669,4793,2013-14
25,Lineups,2440 - 201954 - 201933 - 201599 - 101108,"Barnes,Matt - Collison,Darren - Griffin,Blake - Jordan,DeAndre - Paul,Chris",1610612746,LAC,28,23,5,0.821,326.0,117.0,102.5,14.5,0.61,1.92,19.6,0.283,0.726,0.523,0.14,0.57,0.604,96.82,0.605,62,27,11589,3597,26,3654,6230,4059,4279,1984,3520,3820,6057,4318,6762,3587,3839,6098,4086,2013-14
26,Lineups,202326 - 200752 - 203463 - 202738 - 201574,"Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Thomas,Isaiah - Thompson,Jason",1610612758,SAC,27,13,14,0.481,317.0,102.6,107.5,-5.0,0.549,1.25,17.0,0.223,0.793,0.508,0.178,0.533,0.564,98.92,0.471,72,117,12233,6180,27,5333,6923,6597,5021,3009,4557,4730,4998,4485,8149,4086,4681,5335,5912,2013-14
27,Lineups,203084 - 101106 - 201939 - 101135 - 202691,"Barnes,Harrison - Bogut,Andrew - Curry,Stephen - Lee,David - Thompson,Klay",1610612744,GSW,36,22,14,0.611,316.0,97.3,102.8,-5.5,0.584,1.19,16.5,0.252,0.81,0.537,0.186,0.491,0.524,100.72,0.462,31,33,12233,4586,28,6519,6254,6635,4646,3158,4912,4019,4601,4075,8386,5829,5548,4722,6022,2013-14
28,Lineups,202341 - 203487 - 203156 - 203138 - 201152,"Anderson,James - Carter-Williams,Michael - Sims,Henry - Thompson,Hollis - Young,Thaddeus",1610612755,PHI,22,4,18,0.182,310.0,99.4,110.6,-11.2,0.617,1.66,17.5,0.232,0.803,0.485,0.141,0.482,0.514,97.17,0.411,113,787,12261,7333,29,6345,7220,7097,4220,2306,4328,4658,4635,6287,6788,5916,5844,5973,6704,2013-14
